function,frame,time_ms
imagePyramid,364,0.415960
preCompute,364,1.428671
imagePyramid,364,0.451201
preCompute,364,1.559531
imagePyramid,366,0.328081
track,366,1.872501,0.000000,1
imagePyramid,367,0.390800
track,367,2.841783,0.002280,1
imagePyramid,368,0.416551
track,368,3.053353,0.002313,1
imagePyramid,369,0.463070
track,369,2.552512,0.002975,1
imagePyramid,370,0.453790
track,370,2.519622,0.002873,1
imagePyramid,371,0.435030
track,371,2.115422,0.003312,1
imagePyramid,372,0.387580
track,372,1.907122,0.002804,1
imagePyramid,373,0.357910
track,373,1.851262,0.003214,1
imagePyramid,374,0.357870
track,374,1.943492,0.003082,1
imagePyramid,375,0.379490
track,375,2.216242,0.003367,1
imagePyramid,375,0.425640
preCompute,375,1.557011
imagePyramid,375,0.376221
preCompute,375,1.907821
imagePyramid,377,0.323920
track,377,2.149012,0.000000,1
imagePyramid,378,0.440570
track,378,2.728242,0.001705,1
imagePyramid,379,0.404970
track,379,2.676093,0.001675,1
imagePyramid,380,0.466650
track,380,2.265682,0.002810,1
imagePyramid,381,0.369771
track,381,2.029861,0.002896,1
imagePyramid,382,0.524120
track,382,2.451693,0.002576,1
imagePyramid,383,0.473850
track,383,2.217682,0.002643,1
imagePyramid,384,0.441721
track,384,1.967332,0.002612,1
imagePyramid,385,0.367551
track,385,1.934342,0.002959,1
imagePyramid,386,0.499550
track,386,2.068742,0.003581,1
imagePyramid,386,0.445140
preCompute,386,1.457092
imagePyramid,386,0.368911
preCompute,386,1.548001
imagePyramid,388,0.326960
track,388,1.773292,0.000000,1
imagePyramid,389,0.459440
track,389,2.722562,0.002204,1
imagePyramid,390,0.526540
track,390,3.122733,0.002303,1
imagePyramid,391,0.399380
track,391,2.064262,0.002547,1
imagePyramid,392,0.465530
track,392,1.943162,0.003131,1
imagePyramid,393,0.478851
track,393,2.224552,0.003316,1
imagePyramid,394,0.394230
track,394,2.072092,0.003321,1
imagePyramid,395,0.404450
track,395,2.032262,0.003328,1
imagePyramid,396,0.367830
track,396,2.003842,0.003531,1
imagePyramid,396,0.654270
preCompute,396,1.567402
imagePyramid,398,0.442541
track,398,1.805981,0.000000,1
imagePyramid,399,0.365460
track,399,2.163272,0.002447,1
imagePyramid,400,0.371020
track,400,1.977772,0.002602,1
imagePyramid,401,0.369680
track,401,2.428992,0.001931,1
imagePyramid,402,0.369630
track,402,2.146342,0.002342,1
imagePyramid,403,0.393420
track,403,2.151392,0.003205,1
imagePyramid,404,0.362030
track,404,2.470332,0.002289,1
imagePyramid,405,0.350410
track,405,2.363872,0.002498,1
imagePyramid,406,0.366940
track,406,2.246742,0.002778,1
imagePyramid,407,0.353411
